checkpoint,avg_reward,std_reward,avg_transaction_cost,std_transaction_cost,avg_final_cost
1,-56.08407196437528,300.0297761917086,39.45360084183877,36.55607945575814,56.08407196437528
2,-89.68996911167977,252.79502780063055,60.10774825007327,20.88838520085319,89.68996911167977
3,-90.29763585556607,276.40243424178254,56.39609393770207,16.947693391611875,90.29763585556607
4,-134.77209049756848,200.16750723763704,78.34528164670422,6.2309983067841115,134.77209049756848
5,-154.42658362260497,211.9372144242202,91.32667446120026,7.06602136109295,154.42658362260497
6,-164.18474747503063,227.12554325831837,98.25081164413359,3.8619697761402616,164.18474747503063
7,-172.3088792439431,238.3101657140132,110.0876387373461,4.304644127399236,172.3088792439431
8,-175.9392200514223,266.83561511771507,106.07127875769267,2.4528863063243067,175.9392200514223
9,-189.74337217703768,222.65104270314262,134.9770082259468,24.345864591002535,189.74337217703768
10,-178.9975318289696,298.54914828095457,102.6912128034493,3.727760977093578,178.9975318289696
11,-178.4678958802111,298.8126714717464,101.56289802284076,1.4923912885807469,178.4678958802111
12,-177.40073638950642,304.5328357228252,100.57432256246231,0.30866694065735206,177.40073638950642
13,-176.89408688147955,304.5349972266137,100.1637098340823,0.08472773855969896,176.89408688147955
14,-178.11556646093015,300.2367938462811,116.24562577000907,6.804623934395658,178.11556646093015
15,-181.26145760219973,299.52354861257515,162.8071238844787,10.638544665743472,181.26145760219973
16,-179.71703192617747,296.5928464144146,144.656703705476,17.607201023759988,179.71703192617747
17,-176.87584666851453,304.5999250414158,100.00938114376554,0.009626363975540935,176.87584666851453
18,-176.87197814656702,304.6037822944694,100.00001127244337,1.4298659923815148e-05,176.87197814656702
19,-176.87196906759718,304.60378293008944,100.0,0.0,176.87196906759718
20,-176.87196906759718,304.60378293008944,100.0,0.0,176.87196906759718
21,-176.87196906759718,304.60378293008944,100.0,0.0,176.87196906759718
22,-176.87196906759718,304.60378293008944,100.0,0.0,176.87196906759718
23,-176.87196906759718,304.60378293008944,100.0,0.0,176.87196906759718
24,-176.87196906759718,304.60378293008944,100.0,0.0,176.87196906759718
25,-176.87196906759718,304.60378293008944,100.0,0.0,176.87196906759718
26,-176.87196906759718,304.60378293008944,100.0,0.0,176.87196906759718
27,-176.87196906759718,304.60378293008944,100.0,0.0,176.87196906759718
28,-176.87196906759718,304.60378293008944,100.0,0.0,176.87196906759718
29,-176.87196906759718,304.60378293008944,100.0,0.0,176.87196906759718
30,-176.87196906759718,304.60378293008944,100.0,0.0,176.87196906759718
31,-176.87196910330076,304.6037829248126,100.00000001478399,4.6727700221542845e-07,176.87196910330076
32,-176.87196906759718,304.60378293008944,100.0,0.0,176.87196906759718
33,-176.87196906759718,304.60378293008944,100.0,0.0,176.87196906759718
34,-33.88361952893338,376.39450437527665,6.4081077722507835,24.81182318562598,33.88361952893338
35,-21.919290833551734,344.8556345656882,0.00039889827064831004,1.3665677089594785e-05,21.919290833551734
36,-21.91944565644707,344.85570014326174,0.0005921483997978148,4.045291184307041e-05,21.91944565644707
37,-21.91892372582268,344.8561443671806,9.540925744136742e-07,2.3650272060631837e-08,21.91892372582268
38,-21.918922962218925,344.85614522765445,9.50604754756001e-08,3.7073491636449945e-09,21.918922962218925
39,-21.918922934110004,344.8561452462329,6.44542998868776e-08,5.4111488222043805e-09,21.918922934110004
40,-21.918944080674613,344.8561423987008,2.1235208761791778e-05,1.3532146297293956e-07,21.918944080674613
41,-118.91199499823578,225.50763724278897,111.80456976456811,3.1428268677324303,118.91199499823578
42,-179.65966804433145,204.85679194197652,104.78981594256247,3.0481868211906966,179.65966804433145
43,-107.19467721688513,182.5326262761442,81.18372291501461,2.594239920719297,107.19467721688513
44,-122.33684107857337,183.0369404602439,91.51577108069891,1.9369274364994502,122.33684107857337
45,-135.5179148621702,173.38805257662247,97.28894506827574,0.8725972745367127,135.5179148621702
46,-153.32752074327692,181.54728511043692,100.30817597190475,0.5614177411406096,153.32752074327692
47,-129.07750680632273,186.9554379355165,80.68168950581077,1.0765936438595975,129.07750680632273
48,-135.11738067358118,262.0604268870375,92.76651300677246,1.4801010684323959,135.11738067358118
49,-154.30688822260453,274.99005225078304,96.5827250419496,4.838199705512262,154.30688822260453
50,-175.40111046802028,304.657788447821,131.47699152335696,7.932966826060141,175.40111046802028
