lambda_bin,avg_lambda,avg_trade_size,median_trade_size,count
"(0.00628, 0.00922]",0.008893743971779918,4.149818558311463,0.8187217712402344,20000
"(0.00922, 0.00952]",0.009385794073729317,2.8039061054229735,0.7225418090820312,20000
"(0.00952, 0.00972]",0.009626048761951169,2.5401937812805175,0.7220420837402344,20000
"(0.00972, 0.00988]",0.009800793026046271,2.4884626792907714,0.7494621276855469,20000
"(0.00988, 0.01]",0.00996173282133691,33.30572599266957,2.361289978027344,26971
"(0.01, 0.0101]",0.010046784554294063,2.638182180769034,0.7912445068359375,13029
"(0.0101, 0.0103]",0.010170856480521384,2.5138116287231447,0.7641105651855469,20000
"(0.0103, 0.0105]",0.01034837206158512,2.540342119503021,0.7354278564453125,20000
"(0.0105, 0.0108]",0.010602657513826023,2.8873078689575196,0.7283172607421875,20000
"(0.0108, 0.0141]",0.011192446476010375,4.016911136817932,0.7984390258789062,20000
