episode,episode_reward,loss_ex,loss_ex2
1000,19.009036225175265,135.47213745117188,19367690.0
2000,-796.3360511925198,131.6883087158203,31123318.0
3000,-533.3914965381249,66.78681945800781,16927548.0
4000,-413.4823084955631,68.6111831665039,11537294.0
5000,-525.1612883385951,54.970985412597656,13810579.0
6000,-478.22259983888523,63.651023864746094,10425946.0
7000,-973.6431417828534,58.170684814453125,7371439.0
8000,-355.41616560995857,52.319618225097656,5733562.0
9000,-704.0391101687126,45.78388214111328,3804948.5
10000,-530.8080692353209,45.16200637817383,4578281.0
11000,-1063.187928462532,34.206764221191406,11872564.0
12000,-13.213534651007222,30.475662231445312,21749584.0
13000,-509.8746899903456,23.395389556884766,26804228.0
14000,-805.8028941850622,14.150177955627441,29254596.0
15000,-678.0541846889768,21.057662963867188,42099968.0
16000,-440.70712109877593,13.905051231384277,42193584.0
17000,-500.67611728105805,12.901824951171875,48158312.0
18000,-173.3301959199627,23.020587921142578,53446104.0
19000,-1458.491447597902,10.218973159790039,42210400.0
20000,-108.29906557367978,8.312437057495117,23369444.0
21000,146.57244873229126,6.685970306396484,13925824.0
22000,-423.4225337108353,7.106537818908691,5534313.0
23000,-335.3278146167337,5.630772590637207,1053660.0
24000,-556.4609602810024,12.37333869934082,3518352.5
25000,-149.36863036067984,7.979257106781006,5582868.5
26000,186.37698721439185,7.172431468963623,5490612.0
27000,-84.20554162801781,6.262050628662109,3964355.5
28000,-498.59127605444434,3.1524658203125,2132331.0
29000,-181.47950184259358,3.806424617767334,549443.375
30000,-576.4510087225024,3.9122815132141113,2308231.25
31000,-974.3355878877628,7.377379894256592,13561036.0
32000,-640.5595861277335,6.753724098205566,15793188.0
33000,-697.0486792228024,5.646383285522461,22567114.0
34000,-440.5882108864234,20.262813568115234,22610616.0
35000,-133.87636661771916,15.500341415405273,21557512.0
36000,-111.71819459869675,4.781125545501709,21266686.0
37000,-346.9310744889256,4.37606143951416,21644220.0
38000,-824.8859600998886,6.630763530731201,26513176.0
39000,-680.0981062982733,1.8272594213485718,22328340.0
40000,-153.65310898340368,1.3465133905410767,16089750.0
41000,60.61331623445437,1.4445712566375732,14384266.0
42000,-670.8920978844739,1.7138019800186157,19921996.0
43000,-88.79338460952866,23.204408645629883,15241856.0
44000,-321.5901977766089,2.2339749336242676,11649289.0
45000,190.57902074059598,1.3775274753570557,9638468.0
46000,29.488996112413403,1.2059261798858643,7431664.5
47000,192.82262425416098,0.22276024520397186,1672461.75
48000,59.96986292847727,0.31150954961776733,1569484.75
49000,-96.03829649148683,0.26698270440101624,879270.25
50000,85.93124102262169,0.20112496614456177,823969.5
